174,96
174,100
174,103
174,107
175,110
177,113
179,115
182,117
186,118
191,118
195,117
199,116
202,113
204,110
205,107
205,103
206,99
176,94
178,92
181,91
183,92
186,94
190,94
193,93
196,93
199,94
202,97
188,97
187,99
187,102
186,104
183,105
185,106
187,107
189,106
191,106
179,96
180,95
182,96
184,97
182,97
180,97
192,98
194,97
196,98
198,99
196,99
194,99
181,108
183,108
185,108
187,108
189,108
191,109
194,109
191,111
189,112
187,112
185,111
183,110
182,108
185,109
187,109
189,109
193,109
189,110
187,110
185,109
78,98
79,102
79,106
80,109
82,112
85,114
89,115
92,116
97,116
101,114
104,112
107,110
110,107
111,104
111,100
110,97
110,93
80,93
81,91
84,89
87,89
91,89
94,88
97,86
100,86
103,87
105,89
93,92
93,94
93,96
94,98
91,101
92,101
94,101
96,100
97,100
83,95
85,94
87,94
89,94
87,95
85,95
97,93
99,91
101,91
102,92
101,93
99,93
88,107
90,104
93,103
94,103
96,103
99,103
101,105
99,107
97,108
95,108
93,109
91,108
89,106
93,104
95,104
96,104
100,105
97,106
95,107
93,107
250,70
250,74
250,79
251,83
252,87
255,90
3,91
7,92
12,92
16,92
20,90
23,88
26,85
27,81
27,77
27,73
27,69
253,66
255,64
2,63
5,64
9,65
12,64
15,63
18,62
21,62
23,65
10,67
10,70
10,72
11,74
7,77
9,77
11,77
12,77
14,76
0,69
2,68
4,68
6,69
4,70
2,70
14,69
16,67
19,67
20,68
19,69
17,69
3,82
6,80
9,79
11,80
13,79
15,80
18,81
16,82
13,83
11,83
9,83
6,83
4,82
9,81
11,81
13,81
17,81
13,81
11,81
9,81
