129,7
131,36
136,63
141,89
150,113
165,134
185,151
207,163
234,167
4,164
25,152
43,136
57,115
67,92
73,67
76,42
78,14
141,4
157,242
182,235
207,239
232,246
3,247
24,238
45,236
67,242
77,4
244,12
245,32
245,53
245,74
215,77
228,83
242,88
255,84
11,79
169,16
183,13
196,13
210,18
196,19
183,20
15,19
29,13
42,14
54,18
42,22
29,21
193,97
213,97
229,97
240,101
253,98
11,100
25,102
10,113
251,119
238,120
225,118
210,110
200,99
228,104
240,106
252,105
19,103
252,105
239,107
227,104
