166,251
167,2
168,10
169,17
172,23
177,29
185,32
193,34
202,34
210,33
216,30
221,25
224,19
225,13
225,7
225,1
224,251
172,247
177,243
183,240
190,240
197,243
203,243
208,241
214,240
220,242
222,247
200,249
200,254
201,3
201,7
194,10
197,11
201,12
204,11
207,10
180,251
184,250
187,250
191,251
187,252
184,252
207,251
211,250
214,250
217,251
214,252
210,252
188,18
193,16
198,15
202,16
205,15
208,15
212,16
209,20
205,21
202,21
198,21
194,21
190,18
198,17
202,18
205,17
210,17
205,17
202,18
198,18
